p1_ip_total_len,p1_ip_ttl,p1_inter_arrival_time,p2_ip_total_len,p2_ip_ttl,p2_inter_arrival_time,p3_ip_total_len,p3_ip_ttl,p3_inter_arrival_time,p4_ip_total_len,p4_ip_ttl,p4_inter_arrival_time,p5_ip_total_len,p5_ip_ttl,p5_inter_arrival_time,label
1400,42,0,350,42,7.152557373046875e-06,104,63,0.020702838897705078,210,63,0.0005860328674316406,1355,63,0.0010540485382080078,nvidia.com
1400,42,0,350,42,5.0067901611328125e-06,104,63,0.02471613883972168,227,63,0.0005438327789306641,119,42,0.24674606323242188,nvidia.com
1400,42,0,350,42,5.0067901611328125e-06,104,63,0.024059057235717773,227,63,0.001260995864868164,119,42,0.21781396865844727,nvidia.com
1400,42,0,350,42,4.100799560546875e-05,104,63,0.025959014892578125,210,63,0.0013968944549560547,1355,63,0.00026106834411621094,nvidia.com
898,34,0,104,127,0.18687009811401367,132,127,1.3828277587890625e-05,987,127,0.0010390281677246094,567,34,0.09808516502380371,nvidia.com
1500,64,0,121,64,0.0013780593872070312,114,64,0.0016200542449951172,263,64,0.00034499168395996094,550,64,0.060545921325683594,nvidia.com
120,127,0,132,127,0.0002658367156982422,590,127,0.0003809928894042969,222,127,4.0531158447265625e-06,311,50,0.06327509880065918,nvidia.com
995,43,0,114,62,0.01059412956237793,126,62,0.0013980865478515625,387,62,5.2928924560546875e-05,158,62,2.09808349609375e-05,nvidia.com
414,43,0,120,127,0.0004439353942871094,132,127,0.00011706352233886719,941,127,0.00026798248291015625,327,43,0.08293795585632324,nvidia.com
1500,50,0,178,50,5.9604644775390625e-06,120,127,0.023043155670166016,132,127,0.00015282630920410156,544,127,0.00026297569274902344,nvidia.com
516,43,0,114,127,0.004608869552612305,126,127,0.0003039836883544922,680,127,0.0002911090850830078,351,43,0.05537581443786621,nvidia.com
1400,42,0,231,42,6.9141387939453125e-06,120,127,0.013360023498535156,132,127,5.0067901611328125e-06,623,127,4.506111145019531e-05,nvidia.com
114,64,0,132,64,0.0002009868621826172,152,64,0.0006818771362304688,351,44,0.21147799491882324,422,44,0.245697021484375,nvidia.com
1500,64,0,176,64,0.0019428730010986328,114,64,0.020322084426879883,132,64,0.0006411075592041016,401,64,0.00018787384033203125,nvidia.com
104,63,0,227,63,0.0046367645263671875,119,43,0.24323201179504395,86,43,0.004300117492675781,64,63,0.006812095642089844,nvidia.com
1400,43,0,350,43,3.814697265625e-06,104,63,0.01636219024658203,210,63,0.006558895111083984,1355,63,0.00032401084899902344,nvidia.com
1400,42,0,392,42,2.09808349609375e-05,114,127,0.014857053756713867,295,42,0.05988597869873047,295,42,0.0001800060272216797,nvidia.com
